latitude,longitude,altitude,geometry,position,username,commits,stars,languages,city,avatar
41.6529434,-4.7283811,,Point,851,SergioBertolinSG,264,1,Python,Valladolid,https://avatars1.githubusercontent.com/u/9048796?v=3&s=64
41.4433668,-0.8846827,,Point,852,tinova,264,1,Shell,Madrid,https://avatars2.githubusercontent.com/u/5102?v=3&s=64
41.387917,2.1699187,,Point,853,jorix,264,63,JavaScript,"Castelldefels (near Barcelona, Spain)",https://avatars2.githubusercontent.com/u/1099278?v=3&s=64
41.4433668,-0.8846827,,Point,855,edwise,263,1,Java,Madrid,https://avatars1.githubusercontent.com/u/1696690?v=3&s=64
41.4433668,-0.8846827,,Point,856,felHR85,263,37,Java,"Madrid, Spain",https://avatars2.githubusercontent.com/u/2222321?v=3&s=64
41.4433668,-0.8846827,,Point,857,KonradIT,263,641,Python,Madrid,https://avatars2.githubusercontent.com/u/5891284?v=3&s=64
41.4433668,-0.8846827,,Point,859,yamila-moreno,262,9,Python,"Madrid, Spain",https://avatars2.githubusercontent.com/u/3340793?v=3&s=64
41.387917,2.1699187,,Point,860,albertbellonch,261,147,Ruby,Barcelona,https://avatars3.githubusercontent.com/u/289651?v=3&s=64
38.34521,-0.4809945,,Point,861,Moter8,261,3,Java,"Alicante, Spain",https://avatars0.githubusercontent.com/u/3776997?v=3&s=64
37.3892038,-5.9081615,,Point,862,drzippie,261,9,PHP,"Sevilla, Spain",https://avatars1.githubusercontent.com/u/239421?v=3&s=64
41.387917,2.1699187,,Point,864,j-rivero,260,4,C++,Barcelona,https://avatars1.githubusercontent.com/u/2098802?v=3&s=64
41.4433668,-0.8846827,,Point,865,avara1986,260,6,Python,Madrid,https://avatars1.githubusercontent.com/u/6352942?v=3&s=64
41.4433668,-0.8846827,,Point,866,amedranogil,260,0,Java,"Madrid, Spain",https://avatars2.githubusercontent.com/u/6515064?v=3&s=64
43.4609602,-3.8079336,,Point,867,oaguillon,260,,JavaScript,San Gil Santander Colombia,https://avatars2.githubusercontent.com/u/1925152?v=3&s=400
41.387917,2.1699187,,Point,868,d2tstudio,260,4,CSS,Barcelona,https://avatars0.githubusercontent.com/u/991100?v=3&s=64
41.387917,2.1699187,,Point,869,freeart,259,12,JavaScript,"Spain, Barcelona",https://avatars2.githubusercontent.com/u/261560?v=3&s=64
37.2056774,-3.636805,,Point,870,albatronic,259,1,PHP,Maracena - Granada - Spain,https://avatars3.githubusercontent.com/u/715769?v=3&s=64
43.4609602,-3.8079336,,Point,871,jbedia,259,0,R,Santander (Spain),https://avatars0.githubusercontent.com/u/5796721?v=3&s=64
42.2940141,-5.5198607,,Point,872,adgellida,258,1,Shell,"Valencia, Spain",https://avatars1.githubusercontent.com/u/1489725?v=3&s=64
41.387917,2.1699187,,Point,875,javilumbrales,258,5,JavaScript,Barcelona,https://avatars2.githubusercontent.com/u/2026597?v=3&s=64
43.2569629,-2.9234409,,Point,877,haas85,256,20,JavaScript,Bilbao,https://avatars3.githubusercontent.com/u/1210169?v=3&s=64
41.4433668,-0.8846827,,Point,878,ajnavarro,256,0,CSS,Madrid,https://avatars0.githubusercontent.com/u/1196465?v=3&s=64
41.387917,2.1699187,,Point,879,undeadpixel,256,2,Ruby,Barcelona,https://avatars3.githubusercontent.com/u/568654?v=3&s=64
41.387917,2.1699187,,Point,880,jasonlint,256,0,JavaScript,Barcelona,https://avatars0.githubusercontent.com/u/4974122?v=3&s=64
40.4166909,-3.7003454,,Point,881,borjaburgos,255,6,Shell,"New York, NY & Madrid, Spain",https://avatars0.githubusercontent.com/u/3640206?v=3&s=64
41.4433668,-0.8846827,,Point,882,beeva-nievesabalos,255,1,JavaScript,"Madrid, España",https://avatars3.githubusercontent.com/u/7253138?v=3&s=64
41.387917,2.1699187,,Point,883,cumus,255,0,C++ and C,"Barcelona, Espanya",https://avatars3.githubusercontent.com/u/9050447?v=3&s=64
37.0025184,-3.9883887,,Point,884,jesusgn90,254,4,CSS,Granada,https://avatars3.githubusercontent.com/u/8860227?v=3&s=64
40.9607395,-5.7465977,,Point,885,hectoruch,254,7,HTML,Salamanca,https://avatars2.githubusercontent.com/u/8074563?v=3&s=64
41.387917,2.1699187,,Point,886,existeundelta,254,0,R and JavaScript,Barcelona,https://avatars1.githubusercontent.com/u/10629543?v=3&s=64
37.675267,-1.6975995,,Point,888,voylinux,253,10,JavaScript,Mallorca (Spain),https://avatars1.githubusercontent.com/u/1538304?v=3&s=64
37.3892038,-5.9081615,,Point,889,Nesta,253,28,JavaScript,Sevilla,https://avatars2.githubusercontent.com/u/180671?v=3&s=64
36.7196484,-4.4200163,,Point,890,i52gagrj,253,0,CSS,Málaga,https://avatars0.githubusercontent.com/u/1993018?v=3&s=64
37.0025184,-3.9883887,,Point,891,Amab,252,14,HTML,"Granada, Spain",https://avatars3.githubusercontent.com/u/461393?v=3&s=64
37.6153948,-0.7435246,,Point,892,fjbelchi,252,68,Ruby,"Cartagena, Spain",https://avatars3.githubusercontent.com/u/626713?v=3&s=64
37.1764874,-3.5979291,,Point,893,BraulioVM,252,15,JavaScript,"Málaga & Granada, Spain",https://avatars2.githubusercontent.com/u/715372?v=3&s=64
41.4433668,-0.8846827,,Point,894,hugo19941994,252,1,C++,"Madrid, Spain",https://avatars2.githubusercontent.com/u/6431131?v=3&s=64
41.4433668,-0.8846827,,Point,895,ramongilmoreno,252,1,Shell,"Madrid, Spain",https://avatars1.githubusercontent.com/u/6867128?v=3&s=64
41.4433668,-0.8846827,,Point,896,Souler,251,17,JavaScript,Madrid (Spain),https://avatars0.githubusercontent.com/u/284703?v=3&s=64
43.3801347,-2.5855932,,Point,897,pnegre,251,84,Python,"Balearic Islands, Spain.",https://avatars2.githubusercontent.com/u/45529?v=3&s=64
37.8847267,-4.7791517,,Point,898,loverajoel,251,121,JavaScript,Córdoba,https://avatars0.githubusercontent.com/u/1700100?v=3&s=64
37.3892038,-5.9081615,,Point,899,Angelmmiguel,251,89,Java,Sevilla,https://avatars0.githubusercontent.com/u/4056725?v=3&s=64
41.6562873,-0.8765379,,Point,900,danilat,250,40,JavaScript,Zaragoza (Spain),https://avatars0.githubusercontent.com/u/22763?v=3&s=64
42.2940141,-5.5198607,,Point,902,RomanRobotnik,250,8,Python,Valencia (SPAIN),https://avatars0.githubusercontent.com/u/1507621?v=3&s=64
37.4850307,-2.2950183,,Point,905,Rubentxu,249,21,JavaScript,"Vitoria (Alava, Spain)",https://avatars0.githubusercontent.com/u/604924?v=3&s=64
41.387917,2.1699187,,Point,906,ianharrigan,249,378,Haxe,Barcelona,https://avatars0.githubusercontent.com/u/3024242?v=3&s=64
41.387917,2.1699187,,Point,907,bernatmv,249,2,JavaScript,Barcelona,https://avatars2.githubusercontent.com/u/3183863?v=3&s=64
41.4433668,-0.8846827,,Point,908,ajgarlag,248,38,PHP,"Madrid, ES",https://avatars0.githubusercontent.com/u/388184?v=3&s=64
41.387917,2.1699187,,Point,909,agustibr,247,6,JavaScript,Barcelona,https://avatars2.githubusercontent.com/u/210216?v=3&s=64
37.0025184,-3.9883887,,Point,910,psicobyte,247,17,Python,"Granada, Spain",https://avatars2.githubusercontent.com/u/1206823?v=3&s=64
43.3602994,-5.844781,,Point,912,mvidalgarcia,246,0,Python,"Oviedo, Asturias, Spain",https://avatars1.githubusercontent.com/u/8863238?v=3&s=64
43.2569629,-2.9234409,,Point,915,anderipartek,246,1,CSS,Bilbao,https://avatars2.githubusercontent.com/u/11519980?v=3&s=64
37.0025184,-3.9883887,,Point,916,themakerbb,246,3,JavaScript,Granada,https://avatars2.githubusercontent.com/u/5804759?v=3&s=64
41.4433668,-0.8846827,,Point,917,JMPergar,246,515,Java,"Madrid, Spain",https://avatars2.githubusercontent.com/u/2472301?v=3&s=64
40.223488,-1.9795743,,Point,918,kewelinho,245,1,JavaScript,A coruña,https://avatars1.githubusercontent.com/u/4988013?v=3&s=64
41.387917,2.1699187,,Point,919,rubennorte,245,14,JavaScript,Barcelona,https://avatars0.githubusercontent.com/u/117921?v=3&s=64
41.4433668,-0.8846827,,Point,920,paclema,245,3,Arduino,Madrid,https://avatars2.githubusercontent.com/u/4092862?v=3&s=64
41.4433668,-0.8846827,,Point,921,regiluze,245,15,JavaScript,Madrid,https://avatars1.githubusercontent.com/u/591348?v=3&s=64
37.4850307,-2.2950183,,Point,922,Skillath,244,2,C#,"Lasarte-Oria, Gipuzkoa",https://avatars3.githubusercontent.com/u/5716415?v=3&s=64
41.387917,2.1699187,,Point,924,dertasiu,244,30,Shell,"Barcelona, Spain",https://avatars3.githubusercontent.com/u/11269785?v=3&s=64
36.957424,-2.5700746,,Point,925,frangarcj,244,36,C,Almería,https://avatars1.githubusercontent.com/u/399894?v=3&s=64
42.2313564,-8.7124471,,Point,927,dpino,243,44,JavaScript,Vigo,https://avatars3.githubusercontent.com/u/11567?v=3&s=64
41.4433668,-0.8846827,,Point,928,tcard,243,100,Go,"Madrid, Spain",https://avatars2.githubusercontent.com/u/727422?v=3&s=64
41.4433668,-0.8846827,,Point,929,dokkillo,243,1,HTML,Madrid,https://avatars3.githubusercontent.com/u/920841?v=3&s=64
43.1495502,-2.9250864,,Point,930,memaldi,243,13,Python,Barakaldo,https://avatars1.githubusercontent.com/u/1871269?v=3&s=64
41.6562873,-0.8765379,,Point,931,papajulio,243,1,JavaScript,Zaragoza,https://avatars0.githubusercontent.com/u/492577?v=3&s=64
42.2940141,-5.5198607,,Point,933,ecarrillo88,242,0,JavaScript,Valencia (Spain),https://avatars2.githubusercontent.com/u/9354245?v=3&s=64
39.5760721,-4.9624159,,Point,934,carlosrodlop,242,0,JavaScript,"Seville, Spain.",https://avatars2.githubusercontent.com/u/8872896?v=3&s=64
41.387917,2.1699187,,Point,935,dixso,241,359,JavaScript,Barcelona,https://avatars0.githubusercontent.com/u/1495899?v=3&s=64
41.4433668,-0.8846827,,Point,936,WyrmxD,241,1,JavaScript,Madrid,https://avatars3.githubusercontent.com/u/628610?v=3&s=64
41.387917,2.1699187,,Point,937,broucz,241,151,JavaScript,"Barcelona, Catalonia",https://avatars2.githubusercontent.com/u/1254420?v=3&s=64
42.2940141,-5.5198607,,Point,938,szamarripa,241,0,,Valencia,https://avatars3.githubusercontent.com/u/6949676?v=3&s=64
41.387917,2.1699187,,Point,939,gerardcl,240,5,CSS,Barcelona,https://avatars2.githubusercontent.com/u/1785235?v=3&s=64
41.387917,2.1699187,,Point,940,ezorita,240,19,C,Barcelona,https://avatars3.githubusercontent.com/u/3889419?v=3&s=64
41.387917,2.1699187,,Point,942,txels,239,230,Python,Reykjavik & Barcelona,https://avatars1.githubusercontent.com/u/874958?v=3&s=64
37.3892038,-5.9081615,,Point,943,JesusTinoco,239,0,Java,"Sevilla, Spain",https://avatars1.githubusercontent.com/u/2388836?v=3&s=64
41.4433668,-0.8846827,,Point,947,roclas,239,12,Shell,madrid,https://avatars2.githubusercontent.com/u/1390424?v=3&s=64
41.4433668,-0.8846827,,Point,948,jfontan,239,22,Ruby,"Madrid, Spain",https://avatars2.githubusercontent.com/u/1829?v=3&s=64
41.4433668,-0.8846827,,Point,949,jjmleiro,239,0,JavaScript,Madrid,https://avatars2.githubusercontent.com/u/9530128?v=3&s=64
41.4433668,-0.8846827,,Point,950,UlisesGascon,239,7,JavaScript,Madrid,https://avatars1.githubusercontent.com/u/5110813?v=3&s=64
36.957424,-2.5700746,,Point,951,jghinestrosa,238,2,JavaScript,"Almería, Spain",https://avatars3.githubusercontent.com/u/7010036?v=3&s=64
37.0025184,-3.9883887,,Point,952,enpi,238,2,Java,Granada,https://avatars0.githubusercontent.com/u/8874584?v=3&s=64
41.4433668,-0.8846827,,Point,953,pabloparejo,238,0,Objective-C,"Madrid, Spain",https://avatars0.githubusercontent.com/u/5649510?v=3&s=64
41.4433668,-0.8846827,,Point,954,carlosescri,238,7,Python,Madrid (Spain),https://avatars2.githubusercontent.com/u/482075?v=3&s=64
41.4433668,-0.8846827,,Point,957,rolfbjarne,238,39,C#,"Madrid, Spain",https://avatars0.githubusercontent.com/u/249268?v=3&s=64
41.4433668,-0.8846827,,Point,958,jfernandezpe,237,0,Java,"Madrid, España",https://avatars1.githubusercontent.com/u/12046620?v=3&s=64
39.5105098,-0.4149856,,Point,960,carlosvergara,237,0,Ruby,"Burjassot, Valencia, Spain",https://avatars3.githubusercontent.com/u/9960421?v=3&s=64
41.4433668,-0.8846827,,Point,961,amardomingo,237,5,Python,Madrid,https://avatars3.githubusercontent.com/u/464230?v=3&s=64
40.223488,-1.9795743,,Point,962,karlosgliberal,237,40,JavaScript,pamplona/iruña,https://avatars3.githubusercontent.com/u/200922?v=3&s=64
42.2940141,-5.5198607,,Point,963,daormar,237,10,C,Valencia (Spain),https://avatars0.githubusercontent.com/u/5929960?v=3&s=64
41.4433668,-0.8846827,,Point,964,vitojph,236,6,Python,"Madrid, Spain",https://avatars1.githubusercontent.com/u/1150989?v=3&s=64
41.4433668,-0.8846827,,Point,965,johnnycakes79,236,5,Python,"Madrid, Spain",https://avatars2.githubusercontent.com/u/1543976?v=3&s=64
41.387917,2.1699187,,Point,967,nixelsolutions,236,24,Shell,Barcelona,https://avatars2.githubusercontent.com/u/1949094?v=3&s=64
41.387917,2.1699187,,Point,968,andresgutgon,236,30,JavaScript,Barcelona,https://avatars0.githubusercontent.com/u/49499?v=3&s=64
41.4433668,-0.8846827,,Point,970,jmarranz,236,87,Java,Madrid,https://avatars0.githubusercontent.com/u/2886492?v=3&s=64
41.387917,2.1699187,,Point,971,tranchis,235,52,Clojure,Barcelona,https://avatars0.githubusercontent.com/u/160790?v=3&s=64
37.0025184,-3.9883887,,Point,972,mresti,235,2,Java,"Granada, Spain",https://avatars2.githubusercontent.com/u/1193771?v=3&s=64
41.387917,2.1699187,,Point,973,gdfm,234,7,Java,Barcelona,https://avatars0.githubusercontent.com/u/703859?v=3&s=64
37.0025184,-3.9883887,,Point,974,aDaneInSpain,234,0,JavaScript,"Granada, Spain",https://avatars2.githubusercontent.com/u/4998032?v=3&s=64
41.387917,2.1699187,,Point,975,simo163,234,2,JavaScript,Barcelona,https://avatars3.githubusercontent.com/u/3654076?v=3&s=64
41.387917,2.1699187,,Point,976,tokland,234,275,Ruby,Barcelona,https://avatars0.githubusercontent.com/u/24643?v=3&s=64
40.9607395,-5.7465977,,Point,977,juan-cb,233,6,Python,Salamanca (Spain),https://avatars0.githubusercontent.com/u/2938045?v=3&s=64
41.387917,2.1699187,,Point,978,codecoding,233,90,C#,Barcelona,https://avatars1.githubusercontent.com/u/696981?v=3&s=64
41.387917,2.1699187,,Point,979,ulisescontreras,233,3,CSS,"Barcelona, Spain",https://avatars2.githubusercontent.com/u/7679792?v=3&s=64
41.387917,2.1699187,,Point,980,Samitier,233,2,C++,Barcelona,https://avatars1.githubusercontent.com/u/4160121?v=3&s=64
36.7408046,-6.4358696,,Point,981,nerviozzo,233,0,HTML,Chipiona,https://avatars3.githubusercontent.com/u/10176967?v=3&s=64
41.4433668,-0.8846827,,Point,982,ilopmar,233,108,Groovy,"Madrid, Spain",https://avatars2.githubusercontent.com/u/559192?v=3&s=64
41.387917,2.1699187,,Point,985,mcornella,232,2,Shell,Barcelona,https://avatars0.githubusercontent.com/u/1441704?v=3&s=64
43.2569629,-2.9234409,,Point,986,rsleno,232,0,Python,"Bilbao, Spain",https://avatars1.githubusercontent.com/u/7251655?v=3&s=64
41.4433668,-0.8846827,,Point,987,son-link,231,37,Python,"Madrid, España (Spain)",https://avatars0.githubusercontent.com/u/208409?v=3&s=64
42.2674977,2.9608395,,Point,988,templix,230,1,Shell,"Figueres(Catalunya,Spain)",https://avatars0.githubusercontent.com/u/2451476?v=3&s=64
37.3892038,-5.9081615,,Point,989,brovador,230,31,Objective-C,Sevilla,https://avatars0.githubusercontent.com/u/588744?v=3&s=64
39.5719201,2.6165625,,Point,990,Suui,230,3,C++,"Las Palmas de GC, Spain",https://avatars0.githubusercontent.com/u/7011096?v=3&s=64
41.4433668,-0.8846827,,Point,991,MookieFumi,229,9,JavaScript,Madrid,https://avatars1.githubusercontent.com/u/4056557?v=3&s=64
42.2313564,-8.7124471,,Point,992,adoankim,229,5,JavaScript,Vigo,https://avatars2.githubusercontent.com/u/1521546?v=3&s=64
41.4433668,-0.8846827,,Point,993,NITEMAN,229,26,Puppet,Madrid,https://avatars1.githubusercontent.com/u/721986?v=3&s=64
37.2831754,-5.9222424,,Point,994,jesusba,229,0,Python,"Dos Hermanas, Sevilla",https://avatars3.githubusercontent.com/u/3417285?v=3&s=64
43.2569629,-2.9234409,,Point,995,Josebaseba,229,32,JavaScript,Bilbao,https://avatars0.githubusercontent.com/u/1160665?v=3&s=64
41.1186629,1.24533,,Point,996,katesheleh,228,0,JavaScript,"Tarragona, Spain",https://avatars0.githubusercontent.com/u/11166226?v=3&s=64
42.2940141,-5.5198607,,Point,998,marsanla,228,61,JavaScript,Valencia,https://avatars2.githubusercontent.com/u/1122550?v=3&s=64
41.5532128,0.7055162,,Point,999,jvilaplana,228,5,JavaScript,Lleida,https://avatars0.githubusercontent.com/u/732164?v=3&s=64
41.6562873,-0.8765379,,Point,1000,jact,228,4,PHP,"Zaragoza, Spain",https://avatars1.githubusercontent.com/u/251908?v=3&s=64
